thai,parts,n_parts,per_part_cos,min_part_cos,mean_part_cos,max_part_cos,gap,sum_rank
แม่ค้า,แม่+ค้า,2,0.326;0.210,0.2101801335811615,0.2683151364326477,0.3264501392841339,0.11627000570297241,7
พูดเล่น,พูด+เล่น,2,0.521;0.212,0.21219147741794586,0.36645907908678055,0.5207266807556152,0.3085352033376694,8
โรงแรม,โรง+แรม,2,0.216;0.213,0.21306496858596802,0.21457279473543167,0.21608062088489532,0.003015652298927307,2
โรงแรม,โรง+แรม,2,0.216;0.213,0.21306496858596802,0.21457279473543167,0.21608062088489532,0.003015652298927307,2
โรงแรม,โรง+แรม,2,0.216;0.213,0.21306496858596802,0.21457279473543167,0.21608062088489532,0.003015652298927307,2
โรงแรม,โรง+แรม,2,0.216;0.213,0.21306496858596802,0.21457279473543167,0.21608062088489532,0.003015652298927307,2
อาหารแห้ง,อาหาร+แห้ง,2,0.350;0.214,0.21390923857688904,0.28213363885879517,0.3503580391407013,0.13644880056381226,46
อาหารแห้ง,อาหาร+แห้ง,2,0.350;0.214,0.21390923857688904,0.28213363885879517,0.3503580391407013,0.13644880056381226,46
ด้วยกัน,ด้วย+กัน,2,0.217;0.369,0.21661624312400818,0.2926598787307739,0.3687035143375397,0.1520872712135315,4
ด้วยกัน,ด้วย+กัน,2,0.217;0.369,0.21661624312400818,0.2926598787307739,0.3687035143375397,0.1520872712135315,4
เตียงเดี่ยว,เตียง+เดี่ยว,2,0.473;0.217,0.21669872105121613,0.34480760246515274,0.47291648387908936,0.25621776282787323,3
ทิศทาง,ทิศ+ทาง,2,0.520;0.217,0.2172461301088333,0.3687422648072243,0.5202383995056152,0.3029922693967819,2
ทิศทาง,ทิศ+ทาง,2,0.520;0.217,0.2172461301088333,0.3687422648072243,0.5202383995056152,0.3029922693967819,2
เกรงใจ,เกรง+ใจ,2,0.339;0.218,0.217951700091362,0.27858396619558334,0.3392162322998047,0.12126453220844269,7
ได้รับ,ได้+รับ,2,0.218;0.334,0.21799276769161224,0.27577243000268936,0.3335520923137665,0.11555932462215424,2
